avg_packet_size,byte_rate,duration,tcp_pct,unique_dst_ports,syn_ratio,ground_truth
1242.75,347197.04,385.22,0.56,2,0.04,Priority
1327.75,52194.42,7.11,0.64,2,0.14,Normal
198.1,58910.78,0.2,0.26,24,0.5,Suspicious
79.9,1614.93,0.07,0.66,142,0.55,Suspicious
79.1,52955.69,0.19,0.41,39,0.5,Suspicious
690.5,39922.56,1.08,0.8,3,0.05,Normal
1221.29,38693.83,9.5,0.62,4,0.14,Normal
1150.17,45084.22,9.58,0.77,1,0.11,Normal
1068.54,425601.3,356.1,0.63,3,0.02,Priority
62.62,953.3,0.02,0.62,70,0.77,Suspicious
1065.14,394830.52,461.87,0.85,1,0.05,Priority
1373.84,417650.14,373.54,0.67,1,0.01,Priority
168.41,52050.88,3130.45,0.24,2,0.03,Priority
1058.9,59358.39,2.72,0.84,3,0.05,Normal
481.82,40447.85,0.24,0.82,1,0.1,Normal
54.8,537.7,0.27,0.39,140,0.55,Suspicious
52.91,45871.22,1.34,0.94,2,0.93,Suspicious
223.89,55450.18,330.33,0.24,2,0.01,Priority
946.22,783898.13,150.11,0.95,1,0.03,Priority
251.7,72678.23,229.12,0.15,2,0.03,Priority
1356.72,36362.22,7.31,0.71,5,0.05,Normal
106.84,1197.97,0.85,0.63,183,0.57,Suspicious
1444.94,646333.52,162.9,1.0,2,0.03,Priority
1318.31,265782.83,289.23,0.84,1,0.01,Priority
298.56,70477.56,886.59,0.13,2,0.02,Priority
1185.09,18336.38,7.58,0.73,5,0.11,Normal
652.43,2094.94,7.02,0.83,5,0.13,Normal
216.08,52793.29,239.23,0.32,2,0.05,Priority
66.38,46271.36,0.47,0.46,71,0.52,Suspicious
795.91,43382.55,6.16,0.7,4,0.12,Normal
105.51,20118.26,0.4,0.28,13,0.48,Suspicious
1211.84,227990.2,157.65,0.62,3,0.02,Priority
58.49,865.53,0.38,0.69,144,0.65,Suspicious
686.77,34017.39,2.87,0.72,5,0.03,Normal
49.25,24659.23,0.46,0.13,48,0.63,Suspicious
87.79,31356.65,0.41,0.43,91,0.33,Suspicious
84.68,22566.08,0.05,0.33,83,0.32,Suspicious
496.97,11562.87,8.0,0.84,5,0.08,Normal
1279.18,27956.78,4.17,0.79,4,0.07,Normal
68.5,600.54,0.62,0.44,95,0.58,Suspicious
1437.86,207716.98,46.47,0.99,1,0.02,Priority
49.53,165.43,0.8,0.59,125,0.69,Suspicious
1459.8,190903.41,338.86,0.66,1,0.04,Priority
275.09,97028.74,2829.2,0.29,1,0.03,Priority
42.17,1449.2,0.89,0.51,76,0.7,Suspicious
52.39,29858.47,4.95,0.97,2,0.73,Suspicious
107.17,326.05,0.12,0.33,44,0.53,Suspicious
72.08,24297.64,3.54,0.97,1,0.72,Suspicious
179.3,85865.22,3348.84,0.1,1,0.03,Priority
720.11,50462.82,6.58,0.7,4,0.05,Normal
279.19,86606.88,43.67,0.19,1,0.02,Priority
1313.61,28181.33,8.09,0.73,3,0.11,Normal
960.09,47063.18,7.11,0.66,1,0.14,Normal
154.99,23670.98,0.21,0.42,54,0.62,Suspicious
1475.53,172277.44,119.49,0.99,2,0.04,Priority
117.16,516.06,0.59,0.58,100,0.66,Suspicious
1276.65,24805.49,1.43,0.61,5,0.1,Normal
167.65,44687.64,0.2,0.48,88,0.61,Suspicious
653.21,15686.81,5.94,0.62,5,0.04,Normal
1252.02,134061.27,187.13,0.59,3,0.02,Priority
723.68,26100.75,5.13,0.68,1,0.1,Normal
1279.62,291064.71,485.09,0.55,1,0.02,Priority
152.65,67853.16,0.39,0.21,67,0.54,Suspicious
1282.64,12133.72,2.86,0.85,3,0.13,Normal
57.44,582.23,0.08,0.42,55,0.78,Suspicious
187.76,43262.03,1104.2,0.27,1,0.03,Priority
74.15,45109.71,2.04,0.87,2,0.91,Suspicious
641.06,1926.06,3.66,0.63,3,0.04,Normal
623.09,4334.43,1.12,0.75,5,0.1,Normal
41.76,37130.78,1.37,0.98,1,0.8,Suspicious
155.72,30967.6,0.31,0.2,63,0.55,Suspicious
1418.7,413222.99,203.8,0.62,1,0.02,Priority
55.8,167.7,0.97,0.31,94,0.89,Suspicious
218.18,65342.05,2390.26,0.28,1,0.02,Priority
132.12,31918.12,0.23,0.24,47,0.35,Suspicious
902.18,349934.28,43.94,0.91,1,0.02,Priority
93.08,1290.37,0.67,0.41,161,0.52,Suspicious
1135.22,13335.23,5.46,0.84,4,0.04,Normal
1223.12,133630.1,80.33,0.74,3,0.02,Priority
87.64,1996.17,0.52,0.67,63,0.74,Suspicious
725.96,13994.22,7.14,0.88,4,0.1,Normal
93.95,224.05,0.59,0.41,70,0.65,Suspicious
1209.34,454529.72,133.57,0.99,1,0.04,Priority
866.73,5526.65,1.74,0.62,4,0.15,Normal
1346.79,6925.98,1.64,0.94,5,0.07,Normal
911.66,10261.68,3.84,0.6,4,0.12,Normal
1070.6,728333.79,173.2,0.91,1,0.01,Priority
1144.52,997080.0,89.53,0.97,2,0.03,Priority
1110.04,240382.7,378.63,0.89,3,0.04,Priority
710.02,32146.68,2.24,0.91,3,0.1,Normal
1198.56,7314.72,7.83,0.92,4,0.1,Normal
1255.59,264779.75,404.63,0.51,2,0.02,Priority
93.27,18816.17,0.34,0.1,20,0.39,Suspicious
71.46,43481.4,3.17,0.9,1,0.79,Suspicious
427.17,4847.07,4.69,0.92,1,0.07,Normal
1201.54,57615.02,4.93,0.64,4,0.1,Normal
943.54,28944.21,9.55,0.65,5,0.13,Normal
1436.56,82625.14,311.78,0.75,1,0.04,Priority
146.8,75641.8,0.33,0.16,35,0.5,Suspicious
82.06,346.28,0.47,0.68,192,0.68,Suspicious
1293.27,558659.66,60.75,0.92,1,0.02,Priority
720.82,6298.04,4.0,0.81,3,0.02,Normal
1074.55,166258.5,40.08,0.91,2,0.02,Priority
142.06,76728.43,0.49,0.1,88,0.3,Suspicious
175.14,77554.79,0.25,0.32,68,0.35,Suspicious
114.45,41930.29,0.26,0.39,90,0.45,Suspicious
575.49,34495.91,5.84,0.77,4,0.15,Normal
246.45,76876.5,86.63,0.4,2,0.05,Priority
619.04,5242.07,7.19,0.74,2,0.14,Normal
1126.84,47301.41,9.94,0.81,1,0.13,Normal
283.85,60209.26,2447.63,0.39,2,0.04,Priority
400.25,46027.29,7.49,0.78,1,0.14,Normal
139.39,29629.93,0.37,0.12,91,0.61,Suspicious
1070.32,54166.74,0.26,0.9,3,0.14,Normal
71.6,1695.65,0.64,0.37,48,0.86,Suspicious
58.91,45294.2,0.6,0.93,2,0.74,Suspicious
1366.87,32069.1,3.1,0.73,5,0.15,Normal
1078.86,46966.78,5.06,0.73,1,0.07,Normal
537.23,56322.03,3.58,0.76,5,0.05,Normal
72.81,45667.85,0.94,0.87,2,0.72,Suspicious
165.91,48891.99,0.37,0.15,17,0.52,Suspicious
281.14,63816.7,3428.64,0.14,2,0.02,Priority
1042.58,45801.32,5.05,0.79,2,0.08,Normal
64.23,1580.68,0.33,0.47,183,0.88,Suspicious
41.85,26087.18,3.14,0.86,1,0.76,Suspicious
1040.62,40329.43,1.71,0.8,5,0.08,Normal
285.33,37864.75,2514.36,0.33,2,0.03,Priority
1114.41,57195.56,2.34,0.91,1,0.04,Normal
1041.86,391468.57,100.02,0.98,2,0.02,Priority
438.02,45026.23,6.62,0.88,3,0.02,Normal
903.4,20402.78,6.66,0.95,5,0.09,Normal
1496.74,89429.88,219.09,0.87,3,0.01,Priority
1452.44,627896.63,128.98,0.91,2,0.04,Priority
1404.95,104590.27,183.18,1.0,1,0.03,Priority
64.65,9497.75,3.01,0.98,1,0.96,Suspicious
1071.21,143194.46,305.78,0.55,2,0.01,Priority
270.12,72705.55,1948.8,0.24,2,0.02,Priority
107.9,71837.03,386.8,0.21,1,0.02,Priority
1374.8,302366.02,229.69,0.68,3,0.03,Priority
409.67,5325.67,2.31,0.61,1,0.07,Normal
48.09,1930.6,0.85,0.46,65,0.84,Suspicious
247.46,89995.05,3496.44,0.21,1,0.03,Priority
1103.98,348867.11,157.21,0.76,2,0.01,Priority
743.17,34133.48,0.82,0.87,2,0.09,Normal
918.76,449759.91,168.98,0.98,1,0.03,Priority
54.34,685.34,0.55,0.55,152,0.67,Suspicious
1095.15,475592.19,225.06,0.96,1,0.01,Priority
1309.54,227826.83,153.16,0.98,2,0.03,Priority
52.88,41681.51,2.97,0.98,1,0.83,Suspicious
40.58,15422.53,3.23,0.93,1,0.8,Suspicious
512.4,3909.23,2.65,0.65,5,0.04,Normal
785.87,47711.5,6.0,0.64,5,0.09,Normal
69.93,11954.21,4.39,0.99,2,0.71,Suspicious
1065.42,102616.12,188.75,0.87,1,0.02,Priority
175.89,61405.96,0.45,0.39,28,0.49,Suspicious
77.87,951.29,0.19,0.54,138,0.67,Suspicious
1274.17,42768.51,7.17,0.69,4,0.02,Normal
1056.79,37004.69,7.11,0.83,2,0.08,Normal
85.58,13404.13,0.24,0.41,24,0.31,Suspicious
1147.69,342462.01,106.83,0.9,1,0.04,Priority
133.81,53729.6,3158.68,0.12,2,0.05,Priority
79.89,57352.08,0.07,0.44,15,0.44,Suspicious
774.87,17857.01,8.7,0.68,2,0.02,Normal
92.7,38291.47,0.45,0.31,21,0.56,Suspicious
528.98,28639.21,6.02,0.61,5,0.11,Normal
549.55,7126.52,1.32,0.64,2,0.12,Normal
58.29,20050.97,0.14,0.34,22,0.36,Suspicious
731.17,2662.86,4.55,0.83,1,0.05,Normal
539.31,1273.81,0.19,0.73,1,0.1,Normal
71.09,39009.63,4.17,0.88,1,0.91,Suspicious
1277.3,275815.57,204.59,0.69,3,0.04,Priority
1149.91,54876.78,5.89,0.85,2,0.13,Normal
1446.84,370533.96,5.82,0.95,1,0.04,Priority
1197.52,91506.64,384.39,0.81,3,0.04,Priority
107.46,33735.34,0.31,0.19,66,0.69,Suspicious
1369.64,322646.6,103.15,0.77,1,0.03,Priority
90.3,1620.26,0.28,0.44,57,0.76,Suspicious
1475.34,110775.01,337.77,0.7,2,0.04,Priority
69.42,1497.06,0.61,0.56,143,0.83,Suspicious
71.41,445.46,0.61,0.63,161,0.72,Suspicious
1123.96,92262.51,438.19,0.62,1,0.05,Priority
1484.92,180533.25,285.21,0.51,2,0.03,Priority
1391.18,103590.1,47.62,0.95,2,0.03,Priority
684.97,23989.7,0.11,0.76,2,0.13,Normal
1298.6,53879.15,6.89,0.9,2,0.08,Normal
64.58,22755.95,0.44,0.38,67,0.36,Suspicious
1008.62,324192.07,480.0,0.72,1,0.03,Priority
256.36,95839.9,2148.93,0.15,2,0.04,Priority
124.58,30389.35,0.49,0.44,53,0.66,Suspicious
1341.63,42956.64,3.03,0.8,5,0.13,Normal
98.06,596.73,0.94,0.46,169,0.71,Suspicious
1287.6,294828.5,551.46,0.65,3,0.01,Priority
113.29,256.26,0.32,0.42,157,0.62,Suspicious
1457.26,421488.69,265.48,0.52,1,0.04,Priority
606.58,19482.72,6.4,0.74,4,0.05,Normal
1291.42,585637.8,208.18,0.95,2,0.03,Priority
1484.06,387634.47,514.17,0.53,2,0.02,Priority
767.17,2113.97,1.1,0.77,5,0.07,Normal
1231.9,317701.27,156.82,0.63,3,0.02,Priority
118.8,1928.8,0.28,0.45,144,0.6,Suspicious
250.2,23615.46,3028.41,0.3,2,0.03,Priority
981.16,55231.42,0.92,0.91,3,0.03,Normal
299.56,81941.66,804.61,0.32,1,0.01,Priority
1256.01,346749.15,407.26,0.55,1,0.03,Priority
1402.59,875400.99,13.31,0.93,2,0.01,Priority
1138.92,351110.93,469.19,0.89,1,0.01,Priority
94.82,11596.54,0.14,0.44,23,0.65,Suspicious
431.32,8011.51,3.19,0.76,2,0.04,Normal
451.64,59778.28,7.39,0.63,3,0.12,Normal
43.07,9782.16,4.7,0.96,1,0.8,Suspicious
77.46,60186.55,0.1,0.14,55,0.59,Suspicious
64.3,45441.24,3.53,0.93,2,0.95,Suspicious
50.22,1933.16,0.8,0.5,72,0.9,Suspicious
700.53,9830.73,2.34,0.76,2,0.13,Normal
152.51,49800.88,0.26,0.22,89,0.39,Suspicious
47.6,38613.61,3.82,0.89,2,0.97,Suspicious
1310.11,411538.32,340.87,0.89,3,0.02,Priority
141.18,31723.72,0.32,0.37,80,0.59,Suspicious
555.75,52944.89,4.39,0.74,3,0.14,Normal
56.82,144.71,0.49,0.47,56,0.81,Suspicious
295.44,56665.36,3508.41,0.35,2,0.05,Priority
820.63,29375.55,3.83,0.73,3,0.03,Normal
164.64,99260.49,2816.02,0.34,1,0.02,Priority
117.08,400.52,0.06,0.53,140,0.67,Suspicious
931.27,43510.45,0.72,0.65,3,0.11,Normal
197.05,46121.52,771.09,0.21,2,0.02,Priority
1421.43,194130.12,549.95,0.85,1,0.03,Priority
66.23,38574.17,1.51,0.9,2,0.76,Suspicious
716.45,21189.0,2.03,0.8,2,0.1,Normal
113.82,1016.61,0.43,0.52,30,0.75,Suspicious
175.26,34281.3,1400.7,0.2,2,0.04,Priority
252.87,43144.31,2010.54,0.28,1,0.03,Priority
1101.32,399003.34,386.52,0.64,2,0.02,Priority
81.75,68120.7,0.14,0.24,68,0.46,Suspicious
1254.26,29955.14,4.12,0.92,5,0.09,Normal
188.79,16634.64,0.01,0.26,53,0.64,Suspicious
1415.88,450741.14,458.05,0.66,2,0.02,Priority
162.79,56593.22,0.32,0.25,63,0.4,Suspicious
1250.53,681771.81,60.84,0.97,1,0.02,Priority
1234.16,680634.6,195.74,0.99,2,0.04,Priority
263.48,30834.44,3175.45,0.39,2,0.04,Priority
60.67,37166.49,3.57,0.91,2,0.77,Suspicious
154.62,47591.14,2449.08,0.38,2,0.02,Priority
48.67,494.43,0.61,0.59,152,0.68,Suspicious
146.09,49519.42,0.46,0.14,41,0.39,Suspicious
1466.74,326206.49,593.15,0.57,1,0.01,Priority
79.14,37276.74,1.63,0.94,2,0.83,Suspicious
1346.96,314427.62,425.29,0.62,1,0.02,Priority
51.91,34467.51,1.45,0.99,1,0.93,Suspicious
53.06,13238.41,4.14,0.99,1,0.99,Suspicious
839.21,50752.46,4.95,0.71,1,0.03,Normal
145.04,13890.1,0.07,0.14,81,0.7,Suspicious
893.03,34283.49,6.57,0.92,5,0.06,Normal
648.69,26471.3,6.38,0.69,4,0.14,Normal
1430.16,218159.03,137.08,0.52,3,0.04,Priority
67.18,35217.85,4.07,0.95,1,0.86,Suspicious
153.98,61231.41,0.23,0.13,58,0.47,Suspicious
51.55,45918.44,0.9,0.98,2,0.81,Suspicious
1331.94,352759.28,226.98,0.81,3,0.04,Priority
182.47,87460.34,549.77,0.35,2,0.05,Priority
65.75,21196.49,2.8,1.0,2,0.84,Suspicious
1149.35,383988.65,560.47,0.62,1,0.04,Priority
68.65,61095.33,0.44,0.13,50,0.46,Suspicious
278.81,87622.31,92.65,0.27,1,0.01,Priority
1220.72,963642.2,115.6,0.93,1,0.02,Priority
749.86,42791.12,3.74,0.79,5,0.08,Normal
1259.17,457772.07,219.59,0.82,1,0.04,Priority
1366.3,138097.4,409.78,0.81,3,0.03,Priority
87.93,69864.95,0.26,0.48,11,0.34,Suspicious
46.2,44709.02,0.2,0.18,11,0.35,Suspicious
166.33,84177.5,564.24,0.37,1,0.02,Priority
66.73,766.81,0.06,0.35,125,0.81,Suspicious
685.29,26321.77,2.75,0.88,5,0.09,Normal
1372.98,10033.69,2.77,0.81,2,0.04,Normal
1044.59,704450.99,158.1,0.95,1,0.03,Priority
40.28,16951.33,4.58,0.95,2,0.94,Suspicious
149.6,59185.13,0.4,0.47,45,0.37,Suspicious
53.85,8849.09,1.83,0.87,1,0.86,Suspicious
63.82,1771.25,0.17,0.41,93,0.77,Suspicious
929.58,53074.25,9.45,0.64,5,0.1,Normal
189.85,23146.37,0.27,0.19,76,0.41,Suspicious
69.83,1013.03,0.37,0.44,86,0.65,Suspicious
70.93,14368.36,3.2,0.93,2,0.76,Suspicious
235.13,45210.31,1334.34,0.34,1,0.02,Priority
115.54,1837.69,0.55,0.45,183,0.83,Suspicious
1164.21,650406.84,216.79,0.94,2,0.04,Priority
904.79,240821.5,118.26,0.94,1,0.02,Priority
1085.43,574337.58,223.39,0.96,2,0.02,Priority
51.07,60249.95,0.08,0.21,80,0.6,Suspicious
722.33,26841.87,3.14,0.94,1,0.02,Normal
569.25,7404.77,7.52,0.71,2,0.11,Normal
1016.23,256353.87,137.81,0.8,1,0.04,Priority
565.44,39302.17,2.52,0.92,3,0.06,Normal
843.7,53587.52,4.17,0.65,2,0.12,Normal
1163.19,34852.39,7.59,0.7,4,0.15,Normal
299.38,70961.88,399.75,0.35,1,0.04,Priority
816.81,643523.14,132.13,0.99,2,0.02,Priority
171.62,51543.33,0.5,0.41,89,0.64,Suspicious
598.63,47219.85,9.1,0.73,1,0.06,Normal
1079.25,15884.46,5.91,0.88,2,0.12,Normal
159.25,34261.74,0.16,0.36,53,0.67,Suspicious
1137.55,467091.17,524.27,0.66,3,0.04,Priority
1231.87,6636.6,1.2,0.92,2,0.13,Normal
1353.18,59143.05,4.28,0.93,5,0.08,Normal
400.4,48547.58,0.88,0.67,2,0.08,Normal
248.03,39360.88,381.71,0.15,2,0.02,Priority
46.25,476.17,0.34,0.62,152,0.63,Suspicious
190.55,25069.97,0.5,0.4,99,0.48,Suspicious
74.54,1187.98,0.19,0.4,93,0.78,Suspicious
104.44,368.05,0.77,0.67,185,0.63,Suspicious
45.27,999.58,0.36,0.52,166,0.85,Suspicious
151.72,69887.13,0.48,0.29,16,0.35,Suspicious
1369.35,9279.09,5.91,0.67,4,0.06,Normal
872.92,12356.37,1.09,0.86,2,0.08,Normal
1410.45,276318.39,147.0,0.92,1,0.02,Priority
1105.81,182686.91,93.26,0.69,2,0.02,Priority
60.01,15203.65,0.51,0.93,1,0.85,Suspicious
414.83,48737.09,9.39,0.88,3,0.03,Normal
1184.51,11935.88,6.38,0.89,4,0.04,Normal
1023.3,20522.98,0.73,0.71,5,0.11,Normal
1286.05,22519.6,6.51,0.68,3,0.04,Normal
1057.45,319949.23,152.17,0.83,3,0.05,Priority
1416.73,434595.89,152.12,0.98,2,0.01,Priority
247.57,42624.0,1563.68,0.34,2,0.04,Priority
174.42,47153.34,0.38,0.13,56,0.45,Suspicious
1006.79,51118.72,5.46,0.88,3,0.03,Normal
42.99,11178.61,3.21,0.93,1,0.96,Suspicious
100.63,1165.58,0.17,0.43,125,0.88,Suspicious
452.59,16063.51,6.42,0.9,5,0.04,Normal
787.67,24737.3,8.76,0.78,3,0.03,Normal
72.58,45225.82,3.68,1.0,1,0.73,Suspicious
72.69,1659.25,0.82,0.36,175,0.69,Suspicious
481.63,18611.15,5.19,0.74,5,0.07,Normal
157.54,67104.91,1723.98,0.14,1,0.03,Priority
280.4,79966.64,2679.72,0.28,2,0.02,Priority
1276.15,541197.81,188.16,0.96,2,0.02,Priority
1054.69,23424.4,2.05,0.77,3,0.03,Normal
80.31,986.68,0.8,0.63,120,0.77,Suspicious
1414.0,460001.77,275.49,0.99,1,0.04,Priority
254.87,94456.51,320.22,0.34,2,0.02,Priority
1181.58,378372.98,253.57,0.74,3,0.03,Priority
1006.22,20878.39,5.9,0.71,5,0.1,Normal
73.52,10124.15,2.81,0.93,1,0.77,Suspicious
221.38,32484.74,1237.58,0.32,1,0.05,Priority
59.1,15461.77,3.2,0.89,2,0.92,Suspicious
100.15,19741.14,0.11,0.41,40,0.62,Suspicious
1232.54,473047.12,442.49,0.56,1,0.02,Priority
1340.78,30908.31,4.15,0.88,5,0.11,Normal
244.15,35676.89,835.58,0.34,1,0.03,Priority
281.94,50809.99,2839.55,0.23,2,0.04,Priority
718.03,2838.58,2.79,0.68,1,0.07,Normal
155.85,67826.07,0.14,0.2,69,0.53,Suspicious
1203.6,30807.2,9.67,0.75,5,0.11,Normal
56.02,715.75,0.98,0.33,177,0.73,Suspicious
194.07,57309.23,2254.6,0.3,2,0.04,Priority
140.13,53685.32,0.19,0.15,24,0.45,Suspicious
72.46,1908.41,0.27,0.5,85,0.69,Suspicious
972.87,10818.79,8.95,0.68,1,0.05,Normal
1325.06,22600.67,1.13,0.85,3,0.06,Normal
118.27,68353.71,0.13,0.39,43,0.32,Suspicious
1124.52,251863.94,187.47,0.85,2,0.05,Priority
80.99,65706.62,0.36,0.19,58,0.64,Suspicious
223.72,43205.83,139.41,0.26,2,0.01,Priority
1330.35,47308.1,2.08,0.65,1,0.09,Normal
1180.96,24495.44,4.49,0.91,5,0.02,Normal
50.3,22053.57,4.08,0.95,1,0.9,Suspicious
66.11,21522.16,3.99,0.99,2,0.74,Suspicious
47.89,21604.89,1.72,0.91,1,0.75,Suspicious
1028.12,55907.91,6.79,0.71,4,0.14,Normal
45.83,10244.42,0.37,0.37,16,0.32,Suspicious
1254.97,53071.03,4.72,0.63,1,0.12,Normal
128.57,67595.87,2696.69,0.14,2,0.03,Priority
1358.29,5906.54,6.47,0.94,1,0.13,Normal
1400.25,828596.17,257.54,0.92,1,0.03,Priority
1233.27,27801.97,7.22,0.64,1,0.11,Normal
609.13,35199.35,3.48,0.79,3,0.04,Normal
1296.49,9665.44,2.37,0.64,4,0.08,Normal
146.02,44244.69,271.21,0.37,2,0.04,Priority
589.69,37517.94,3.3,0.89,5,0.15,Normal
1263.14,52941.24,2.44,0.92,5,0.12,Normal
1104.72,250002.69,177.42,0.9,1,0.02,Priority
1121.56,205671.17,226.07,0.81,1,0.02,Priority
776.81,32479.71,0.1,0.68,4,0.05,Normal
886.14,411892.64,24.95,0.97,2,0.02,Priority
1038.97,307332.58,436.24,0.59,2,0.04,Priority
195.54,10577.28,0.47,0.32,33,0.6,Suspicious
147.68,67026.79,2854.06,0.27,2,0.05,Priority
1283.12,35045.47,3.6,0.89,4,0.09,Normal
95.27,68320.17,0.19,0.4,32,0.53,Suspicious
508.89,38555.78,5.03,0.74,3,0.15,Normal
1335.91,9080.94,4.93,0.69,1,0.11,Normal
682.75,3631.1,0.46,0.7,4,0.12,Normal
136.63,77623.64,3177.07,0.18,2,0.04,Priority
52.25,380.16,0.43,0.36,85,0.7,Suspicious
1309.56,2063.89,5.61,0.88,1,0.04,Normal
1476.55,328396.17,315.74,0.84,3,0.05,Priority
1132.51,486824.09,283.82,0.73,2,0.03,Priority
269.42,82078.8,1798.92,0.4,1,0.01,Priority
1100.79,180699.26,287.01,0.93,1,0.03,Priority
52.57,1918.29,0.61,0.64,58,0.82,Suspicious
1062.21,24814.5,3.24,0.93,2,0.11,Normal
407.07,2360.68,5.3,0.74,4,0.15,Normal
613.21,41598.51,9.6,0.76,2,0.05,Normal
54.01,33948.31,2.94,0.89,2,0.97,Suspicious
864.2,37533.05,4.85,0.83,3,0.03,Normal
69.78,28785.68,2.49,0.87,2,0.86,Suspicious
262.02,43765.22,3103.98,0.35,1,0.04,Priority
958.77,22899.0,7.88,0.69,2,0.07,Normal
1205.93,47611.8,3.12,0.63,5,0.02,Normal
531.93,30235.04,1.16,0.72,2,0.07,Normal
655.34,7246.58,3.61,0.74,2,0.09,Normal
1033.32,336191.92,246.11,0.85,3,0.03,Priority
1255.78,471352.14,280.64,0.7,1,0.05,Priority
1023.11,421452.68,197.5,0.97,2,0.01,Priority
1225.19,18987.88,9.9,0.63,2,0.02,Normal
